userName,score,at,content
Savero Maulana,1,2023-08-08 09:23:36,"ribet, mau login tapi nomer udh ga kepake gabisa apa2, mau bikin akun baru tapi NIK udh terpakai"
Mince Aprilia,2,2023-08-08 09:00:58,Saya mendaftar akun nya salah terus pas nama pdhl nik sudah bener semua nya
Yozi Saputra,1,2023-08-08 08:38:49,"Sudah 1 minggu vaksin, belum ter input juga ke aplikasi ini... Bikin repot saja dan kita harus lapor dan kirim email lagi ke kemenkes nya... Parraaaaah"
Juanda Anda,4,2023-08-08 08:12:36,Lemot aplikasi nya sejak di perbarui
TIREX 2345,1,2023-08-08 07:50:38,"Di updet malah gabisa masuk, dia yang kirim kode verivikasinya.. dimasukin malah gak cocok govlok kan.."
ririe prabu sunnanmerahputihbiru,5,2023-08-08 06:44:23,Terimakasih akhirnya data vaksin 1 & 2 udah bisa saya lihat... Padahal surat yang aslinya hilang Aplikasi nya sangat berguna
jombang utara,1,2023-08-08 05:20:46,selalu upgrade pas udah eror GK bisa check in
Rama Dhan,5,2023-08-08 05:19:02,Mantap
Denny kurnia,1,2023-08-07 23:29:13,"Kok tiba2 jd ga bisa scan pdhal apk udh yg terbaru, biasanya saat scan barcode gercep langsung detect,ini malam jd ga mw sama sekali 😕😕😕"
Dani Hamdani,5,2023-08-07 20:59:35,👍
Samuel Dedi,1,2023-08-07 20:55:38,Aplikasi bgsat
usup kuncupgame,1,2023-08-07 19:28:46,Tambah ribet tambah gak jelas
bagas baihaqi,1,2023-08-07 19:13:14,"pelayanan nya jelekkk aplikasi nya jga suka eror suruh ke customer service pelayanan juga gtu kadang""ga terhubung udh vaksin ke 3 sertifikat vaksin belum muncul padahal di puskesmas sudah di input suruh call center ttp aj"
taufik bakumpay,1,2023-08-07 18:59:29,"Sumpah ribet bnget setelah satusehat, di beri no OTP ,setelah di masukan no OTP ny mlah ga bisa,,mksud ny apa coba??? tolong beri alasan apk satusehat mobile????"
Riki Ramadhan,1,2023-08-07 17:43:26,udah vaksin ke 3 tapi sertifikat nya ga muncul brader
Hafidz Pramayogi,1,2023-08-07 17:39:40,Aplikasi opo Iki angel pol GOR arek cek sertifikat vaksin.balikin lagi peduli lindungi
Semy Seli,4,2023-08-07 16:22:11,⁷c78v 7 iuovo776i
Ryan Nation,1,2023-08-07 15:50:16,Pelayanan gak bagus orang mau urus sertifikat vaksin aja dengan alasan penyalahgunaan data vaksin padahal blum pernah sama sekali Kecewa banget
Agus Purwanto,1,2023-08-07 13:52:23,"Tiket vaksin booster 2 tak kunjung diberikan, sudah lewat 6 bulan dari vaksin 2 padahal sudah mengisi data dengan benar."
么,1,2023-08-07 12:42:46,Apk rusak 2 tahun nunggui sertifikat vaksin dosis 2 ga muncul2 aj
bayo Regar,4,2023-08-07 11:54:21,Aplikasi ini bagus
Restu Rendi,1,2023-08-07 10:57:17,"Masuknya susah banget woyy, ribet banget pdhl yg dulu gampang"
Imam Wahyudi,1,2023-08-07 10:48:12,"Aplikasi ngak jelas,ngetik tahun lahir aja susahnya minta ampun"
Irvan Prastyo,1,2023-08-07 10:02:54,"Mau masuk aja ribet,yang ngirim otp situ tp kaga bisa di pakai,emang indonesia bgt kalo ga ribet ga cuan"
bwidhegyo project,1,2023-08-07 09:33:36,"Aplikasi ndak mutu, sudah 5 bulan belum keluar vaksin saya yang ke 3."
Maulida Rahma,1,2023-08-07 08:26:12,"Apk nya ribet, udah daftar suruh daftar lagi. Ngasih kode verifikasi gagal, di coba gagal aja padahal kode yang di kirim itu tapi pas di coba gagal Mulu.. fiturnya juga ribet bangett ga kaya yang dulu lebih mudah. Kurang rekomen kalau ga penting banget ga perlu di download."
Pakage Yamee,5,2023-08-07 07:13:44,Aplikasi satusehat sangat penting bagi pelamar kerja dan keluar daerah
Sas Wandi,3,2023-08-07 04:46:58,Setiap keluar rumah gosok hidung mulut telinga dahi dgn minyak kayu putih..baru pakai masker
Umi Elis,4,2023-08-07 04:26:03,n 6reh
ayu anjani,1,2023-08-07 00:10:21,"Tolong dong responnya di ig sama email di wa juga gak bisa. Saya udah booster tapi gak keluar"" sertifikatbya di aplikasi"
ahmad musyali,1,2023-08-06 21:43:52,"Data Tidak Aman, Masih ada manipulasi pencatatan hasil pengujian,."
Aan Anwar,5,2023-08-06 21:28:13,Ok
Farhan Firmansyah,1,2023-08-06 21:11:21,"Tolong dong buat developer sertifikat vaksin ketiga belum keluar di apk satu sehat, padahal di puskesmas sudah di input, tetep aja tidak muncul di apk satu sehat nya, tolong bgt buat developer karena saya butuh banget buat melamar pekerjaan"
Cepi Rachmat,1,2023-08-06 20:51:28,"Kenapa saya gx login sedangkan data udah sesuai, gimana ni parah banget"
Partini Tini,5,2023-08-06 20:18:53,Bagus dan lancar
Ridho Mustakim,1,2023-08-06 19:20:37,"Kemenkes nya slow respon,"
Firmansyah 986,1,2023-08-06 17:37:31,"makin ribet saja, makin di update main banyak bug"
Kharis,5,2023-08-06 17:12:36,"Terus kembangkan, agar lebih mudah digunakan dan menyeluruh untuk android low/mid-end"
Abdul Latif,5,2023-08-06 16:30:04,Bagus sangat membantu
Sri Wahyu Ningsih,1,2023-08-06 12:42:42,"Kode verifikasi yang ditulis sudah benar sesuai dengan pesan yang masuk malah salah terus, padahal jelas-jelas masukin kode sudah benar sampai di cek tidak salah kode tapi sistem yang kurang jelas Malah muncul tulisan kode salah terus🙏🏻"
Ajeng Maryuani,2,2023-08-06 12:10:07,"Sudah vaksin booster tpi sertifikat masih tidak muncul, katanya suruh updt apknya, udah di updt masih aja blm muncul. Vaksin jadi syarat administrasi tpi sertifikat ga muncul-muncul"
Lavalamps YT,1,2023-08-06 11:24:18,"Dari semua fitur sudah bagus tapi ada 1 hal yang sangat mengecewakan, saya login dengan no hp saya tetapi data yang muncul punya ibu saya dan jika saya login dengan no ibu saya data yang muncul juga punya ibu saya, jadi data saya itu ada dimana? Saya sangat kecewa karena saya tidak bisa claim sertifikat vaksin saya, MOHON CEPAT DI TANGGAPI DAN DI PERBAIKI"
Zorro Wesper,1,2023-08-06 09:06:48,"lebih ke aplikasi GA GUNA SI mau masukin kode otp aja salah salah ,padahal dia sendiri yg ngasi tau kodenya BERAKK"
Apipudin,1,2023-08-06 08:36:21,"Mau masuk lagi karena ke hapus,eh kode otp salah katanya padahal udah bener"
Ibnu Maulana aziz,1,2023-08-06 04:45:13,Saya mau ajukan booster tidak bisa dikarenakan tidak memiliki tiket padahal saya sudah 18 tahun lebih di chat wa dan email pun tidak di respon! Kalian kerjanya ngapain? Kalian di gaji oleh negara dari uang pajak kami!
Arfan,1,2023-08-06 04:14:54,"Mohon maaf ya bintang satu. Kode otp sesuai pesan wa resmi tapi kok di denied sama app nya. Tolong kerjanya di giatin lagi ya kakak² developer. Link tautan auto log in di app lain aja ada, lah ini? Jangan pura² buta dan tuli saran"
hanes adhitya,1,2023-08-05 23:33:06,"Gak guna malah gak keliatan status vaksin 1,2,3booster 1, 4booster 2 nya"
supri Yatins,5,2023-08-05 20:01:08,Mantul
Jacobus Joris,5,2023-08-05 18:34:51,Ok
35. Textona Ardha R,1,2023-08-05 16:24:15,Otp ga terkirim tolong lain kali sewa orang yg bener buat programnya
Dede Yusuf,1,2023-08-05 15:33:51,Log in susah amat kode verifikasi gak ada
Dimas Mukti,1,2023-08-05 15:31:54,abis di update malah ga bisa akses
Rizky Japandi,1,2023-08-05 15:08:21,"Aplikasi bobrok, massa harus login mulu"
Syahrul _Ejha,1,2023-08-05 15:01:34,"Waktu masih apk peduli lindungi data masih aman setelah update data"" hasil vaksin malah hilang sudah daftar tpi datax masih aja hilang dan apkx ribet"
Mas Inis Blagador,1,2023-08-05 14:56:42,"Aplikasi tidak siap edar, kode verifikasi tidak terkirim. Masuk pakai e-mail juga tak bisa."
Aryasatya Nugraha .W,1,2023-08-05 14:09:38,Ribet
Firays SY,5,2023-08-05 13:16:33,Oke makasih
Nuraini Ktp,5,2023-08-05 13:06:42,Aplikasi nya sanggat berguna ...dan mudah di guna kan
ngEkonomi & Berkelana,1,2023-08-05 12:41:36,"Kode OTP masa d bilang salah, padahal kalian sendiri yg mengirim. Ngapain sih di-update dan ganti nama segala kalau malah bikin ribet gini, bayar programmer yang bagus dan hebat lah."
Gatau Males,1,2023-08-05 12:26:46,"Ga wa ga apk sama aja lelet. Tiket vaksin booster saya tidak muncul-muncul di satu sehat, chat di wa kemenkes ga dibales bales, sangat bagus sekali pelayanannya ❗❗❗"
Bagas Bagas,1,2023-08-05 11:47:15,"Gak jelas aplikasinya masa mau cek sertifikat vaksin malah tulisannya belum pernah vaksin sama sekali, padahal dulu di peduli lindungi ada. Mohon tanggung jawabnya, ngerubah malah menyusahkan."
bbxflwdzx_1104,1,2023-08-05 11:42:33,"Jelek anjr sertifikat GK muncul2 trs masa tbtb gua dinyatakan ""Belum Vaksin"" mau nyuruh mati vaksin terus emang? Udah 3x SETAN GUA VAKSIN"
Bilal Gusti,1,2023-08-05 11:39:29,"Jadi ilamg sertifikat vaksinya,makin kesini makin ga jelas ini aplikasi"
Aria Yudha Nur Rizky,1,2023-08-05 11:37:39,Masa sertifikat vaksin saya hilang. Saya udah vaksin sampe vaksin boster. Besok saya mau terbang pakai pesawat lagi. Gimana si?
Ridwan Apriyanto,1,2023-08-05 11:36:15,"Sudah di update malah ngaco, aplikasi jelek!!!! Saya sudah vaksin 1 dan 2, booster 1. Tapi keterangan nya belum di vaksin sama sekali. 👎👎👎"
rudy harianto,1,2023-08-05 11:32:58,"udah vaksin 3x tpi dosis 2 dan 3 gk ada sertifikat kartuny,.malah dosis 1 ilang ,pas di cek sertifikatny ilang smua,.gila ratting 1"
chanel garambang,1,2023-08-05 11:32:03,Sertifikat vaksin tiba tiba hilang semua
Nur Faizah,1,2023-08-05 11:31:34,ini emang masih belum terupdate ya? Kok sertifikat vaksinnya engga ada
ci _,1,2023-08-05 11:25:29,"Vaksin gua ilang semua, padahal gua udah vaksin 3 kali. Ngeselin banget, malah di bilang gua belom vaksin padahal gua udah vaksin sampe vaksin ketiga terus ribet banget"
Kaplale,1,2023-08-05 11:24:41,"aplikasi paling parah, audah vaksin sampai ke 3, masa tidak ada😡😡😡"
Enma,1,2023-08-05 11:20:27,"Error error mulu, tiket vaksin ga muncul luama bangt udah lah percuma"
Parish,1,2023-08-05 11:15:42,Sertifikat saya hilang
20 Muhammad Firmansah,1,2023-08-05 11:11:36,"Sumpah ga jelas bgtt,padahal udah vaksin dosis 2 tapi malah ilang sertifikat nya sebelumnya ada, didalem aplikasi saya malah ditulis blm vaksin,ga jelas."
Syafkia Eka Adhi Putra,1,2023-08-05 11:10:11,"sertifikat vaksin tiba"" ilang gada padahal udah vaksin booster 1 guna nya vaksin buat apa sertifikat nya ilang mempersulit buat nyari kerja"
Budi Santoso,1,2023-08-05 11:05:00,"Jancoookkk jancooookkk, aplikasi pemerintah bangsaaaattt.. habis update sertifikatku hilang semua, bajingan bangsaaatttt...!!!!"
Yasril Ramli,1,2023-08-05 11:02:25,Ini aplikasi ga jelas . Kemaren sertifikat faksin ada sekarang hilang lagi
Wahyu Subuh,1,2023-08-05 10:58:50,"Apk gak jelas, wes vaksin mlah metune grong vaksin"
Rizky Arief,1,2023-08-05 10:58:32,Sertifikasi vaksin dosis satu dan dua saya hilang. Dan setifikasi kartu vaksin yang tiga belum keluar. Padahal saya buka apk ini bulan kemarin ada sekarang malah hilang. Tolong di cek lagi soal buat melamar kerja😊
Badra Badra,1,2023-08-05 10:58:28,Semakin ribet tidak seperti aplikasi sebelumnya
MUFIDARHAM,1,2023-08-05 10:56:21,"INI APAANSI, SERTIFIKAT VAKSIN GUA MANA KOK GA ADA"
Rully Kurniawan,1,2023-08-05 10:52:19,"baru aja buka malah vaksin ilang semua, ni gimana sih konsepnya"
Nick 510n,2,2023-08-05 10:47:51,"Permisi.. saya saya sudah Vaksin sebanyak 3x. Kok didatanya tidak ada. Mohon diupdate lagi Apk nya. Tolong. Saya lagi mau melamar kerja. Saya cuma tau, datanya sudah ada. Tolong dibantu"
Daniel,1,2023-08-05 10:44:08,"Udah vaksin booster pertama, cek sertifikat malah keterangan belum pernah vaksin covid 19. Cek NIK Ayah juga gitu. Udah vaksin Booster Pertama padahal kemarin tahun 2021."
Guntur Saragih,1,2023-08-05 10:43:09,"Saya sudah vaksin sampai tiga kali tapi kenapa diaplikasi terdeteksinya belum pernah vaksin sih,gimana ini kecewa saya"
dyan pujia,1,2023-08-05 10:38:52,"Niatnya mau ngecheck e-ticket untuk booster 2, eh malah dinyatakan belum vaksin. Sertifikat vaksin 1 - 3 gak ada. Kocak sih"
shinta tyas,1,2023-08-05 10:38:36,"Tiba tiba keterangan belum vaksin, padahal udah sampai vaksin 3"
Boykican_official 5,2,2023-08-05 10:38:16,Gimana sih saya udah vaksin ke 3 masih belum muncul sertivikat nyah d apk ini
Risman,1,2023-08-05 10:37:18,Setelah Update sertifikat vaksin sampai boster 1 pada hilang semua
Basyir Muhammad,1,2023-08-05 10:35:27,Apk jelek ehh .ga sama Kya peduli lindungi
Hendri,1,2023-08-05 10:35:25,Makin update makin aneh aplikasinya tiba-tiba sertifikat vaksin hilang huhh aplikasi g*b**k
Vivik Ch Ummah,2,2023-08-05 10:34:19,"Sertifikat vaksin ku kok jadi gak ada ya, tulisannya juga belum memiliki riwayat vaksin, padahal waktu masih apk pedulilindungi ada kok aku juga udah vaksin beberapa kali🥲 bagaiamana iniiiii??"
Angga Permana,2,2023-08-05 10:33:08,saya sudah vaksin booster tapi gada sertifikat satupun di aplikasi ini padahal dulu di aplikasi peduli lindungi ada
Restu Faezal,1,2023-08-05 10:32:42,Saya sudah 3x vaksin Kenapa data sertifikat vaksin saya hilang
Ardian Triyulianto,1,2023-08-05 10:31:19,Aplikasi sampah
Arzenda Rangga Jati,1,2023-08-05 10:29:59,Aplikasi apa ini sudah vaksin booster tpi di dalam apknya dibilang tidak punya sertifikat vaksin
Deni NurDiansyAh,1,2023-08-05 10:21:36,Data vaksin 1-2 ku ilang semua
Heru Wicaksono,1,2023-08-05 10:18:00,Saya sudah 3x vaksin di aplikasi tidak ada
ANUGRAH CHANEL,1,2023-08-05 10:17:03,"Kenapa setalah update sertifikat hilang semua , status m3njadi blom vaksin sama sekali"
Aurelia Feby,1,2023-08-05 10:15:40,"Di update data telah melakukan vaksin 1 & 2 malah hilang. Terus sykan sdh melakukan vaksin booster 1, eh data telah melakukan vaksinnya blm ada sampai skrng😩😩😩 Mohon di perbaiki appnya 🙏"
Nadia's room,1,2023-08-05 10:15:15,"Status, Sertifikat vaksin ga muncul semua. Padahal udah sampai ke booster 1, tulisannya malah ""anda belum vaksin"". Gimana sih ???"
Achmad Achmad,3,2023-08-05 10:13:46,Setelah diinstall..aplikasi tidak bisa kebuka
poetra rozak,1,2023-08-05 10:12:19,Sertifikat gue ga ada lol
Ahmad Musaiery,1,2023-08-05 10:09:25,"Ini kenapa si sertifikat gw ga muncul abis login balikkk , kesel gw udah mau dipake pula :/"
Zakaha Rachma Dhani,1,2023-08-05 10:03:27,Aplikasi rusak
Asep Rizal,2,2023-08-05 10:02:50,"Kacau nih, waktu di app sebelumnya sertifikat vaksin ke 1,2 dan booster ada eh setelah di upgrade malah ga ada malah kosong gimana nih IT nya"
Danny Maulana,1,2023-08-05 09:59:57,"Sebelumnya data vaksin masih ada tapi kenapa sekarang jadi gak ada datanya ,malah belum vaksin d tulisannya,padahal pas waktu peduli lindungi masih nyaman gak ada bug kek gini"
Encup Sutrisna,1,2023-08-05 09:55:35,Udh paksit 3 . Keterangan aplikasih belum vaksi . Bikin susah aja aplikasi ini . Udh bagus 2 kemarin . Engk tahu lagi lah gimana ini . Makin kacau di buat .
Haru Siya,1,2023-08-05 09:53:55,"Status masih vaksin 2 padahal udah sampai vaksin 3, belum terupdate lebih dari 1 bulan. Lebih baik apk peduli lindungi, cepat respon, fiturnya gak ribet, klo mau masuk gk harus daftar lagi."
The Fun Gamers,1,2023-08-05 09:51:57,"Kok riwayat vaksin saya ilang?, saya sudah vaksin 1,2 dan booster, kok sertifikat nya ILANG ini gimana sih?"
Wanudya Kusumaningati,1,2023-08-05 09:48:22,"Apk gk jelas, mau lihat sertifikat vaksin malah g ada padahal udh vaksin"
Sabriel Rayyan,1,2023-08-05 09:44:37,"Malah jadi ribett,Sertifikat gua malah gak muncul,gua mau lihat adek gua,udah 1tahun malah jadi gak bisa ketemu karena sertifikat nya gak keluar"
Alissa Qothrunnada,1,2023-08-05 09:30:17,"Apk palinggggggg ribwt dan sering error, lukusan apa sihh yg bikin nih apk, apaa pas kuliah nyaa ga ngotak kali"
Muhamad Awaludin,1,2023-08-05 09:09:16,"Udh Vaksin ke 4 Tapi belum ada notif, dan untuk nik ga bisa diubah, makin kacau!!!! Hasil vaksin dari satu sampai 3 aja gabisa diliat detail cuma yang ada vaksin 2 doang"
"Ganiawan, ST.",1,2023-08-05 08:44:05,bikin simple saja.
Dede Deswan,5,2023-08-05 08:02:57,Cuco em
Abdul Rahman Muni,1,2023-08-05 07:15:15,Bapuk udah berulang ulang masukin verivikasi masih ga bisa masuk
Rasmono Prasetio,1,2023-08-05 07:02:05,Tidak ada tanggapan sama sekali
irfan mpenk,4,2023-08-05 06:33:38,Cara mengecek kartu vaksin gimana min. Mau cetak nih
Destry Sulistyowati,1,2023-08-05 03:30:36,"Udah bener dlu aplikasi peduli lindungi, skrg diganti jadi satusehat fitur nya ribet dan susah untuk akses nya, berulang kali saya daftar masukin no nik data pribadi gabisa2, pas saya masuk pake email yg sama seperti akun peduli lindungi saya malah tdk bida masuk. Ini sy yg salah atau emg sistemnya EROR?Tolong diperbaiki dan di notice semoga tdk merepotkan masyarakat untuk mengakses ny"
imas dewi,3,2023-08-04 22:30:28,gak bisa update
Getex Canobeh,1,2023-08-04 21:33:41,"Dulu masih pedulilindungi lebih gampang daftar intuk mendapatkam sertipikatnya, setelah ganti jadi satusehat malah bikin pusing, padahal udah dapat sertipikat karena hp nya hilang ga keburu dicetak Sekarang jadi susah begini aku kasih satu bintang aja"
dj76,1,2023-08-04 21:31:29,Ampas
Keydie Kazuya,1,2023-08-04 21:25:15,Ini aplikasi kok sering error ya.... Kalah sama Free Fire aja.... Aplikasi ga profesional... Sekali lagi setelah pembaruan selalu errooooorrr... Aplikasi asuuu
Muhammad Ali Basid,1,2023-08-04 21:03:03,"Makin ribet fitur nya, jadi ga detail kyk dulu dan hasil vaksinnya pun ada yang ilang"
Kemny Pratama,5,2023-08-04 21:00:16,👍
Amelia Mualifah,4,2023-08-04 20:24:21,wZa
Abraham Alief,1,2023-08-04 20:12:25,"Bagus sekali pelayanannya, sangat berbelit2"
Ridho Hidayat,1,2023-08-04 20:00:15,"Kode veriffikasi benar, tapi dibilang salah. Aneh"
Mr Fake,1,2023-08-04 19:39:36,buat login aja susah. gimana sih apk nya jelek banget
Alakaman Luturmas,5,2023-08-04 18:59:56,Gg
Yani Sari,3,2023-08-04 18:58:57,"Scan barcode tidak berfungsi, biasanya otomatis login kalau sudah scan ini susah"
Anggita Safitri,1,2023-08-04 16:30:42,Yaallah aku sampe di booster 4X pas ketiga gk masuk peduli lindungi trus suntik vaksin tahun lalu di puskesmas yang ke 4 pas di cek alhamdulillah ada boster 3X gk tau knp pas saya mau lihat peduli lindungi KENAPA KARTU VAKSIN SAYA JADI BOOSTER PERTAMA DOANG😭😭😭😭AKU BOOSTER KE 2 MERIANG TOTAL SAMPE YANG 4 KAKI KRAM SUSAH JALAN KENAPA MALAH ILANG😭😭😭😭😭😭😭😭KENPA ADMIN😭😭
Indri Ermawati,1,2023-08-04 16:22:02,"susah bener login nya, padahal no hp dah bener sama tadi pas masukin kode otp juga bener malah ga bisa. mau masukin email juga gabisa. SEMOGA DIPERBAIKI YA, EMANG BOLEH SESUSAH LOGIN INI??"
paruk Bahtiar,5,2023-08-04 11:33:42,Sangatt membatu
Vernando Tamba,1,2023-08-04 10:52:04,"APLIKASI SAMPAH,MINTA NIK KITA KASIH TP KATANYA SUDAH DI GUNAKAN ORG LAIN,KPN SY DAFTAR?JGN2....MAU CURI"
prabowo dedy,2,2023-08-04 10:18:16,"Kenapa saya masuk lagi kok tidak ada sertifikat vaksinya..pdhal saya sudah melakukan sampai vaksin ke tiga..mohon bantuannya min, ini gmana..saya sudah masukan identitas diri semua lengkap..tidak seperti dulu semuanya mudah dan langsung kluar. Maksih"
winda yulistiana,1,2023-08-04 10:05:45,Tolong knp saya udah vaksin ke dua .tp di aplikasinya katanya blom pernh vaksin.sedangkan saya scand barcod saya katanya gk valit .gimana si ini .Tolong segera di perbaiki .saya mau cetak kan pdahal 😢
RRR mary,5,2023-08-04 09:30:32,Baik
Roanda Putra,1,2023-08-04 09:09:05,Susah di pakai banyak bug
Gue Wito,5,2023-08-04 08:53:35,Apk yg Bagus
ohn endri,2,2023-08-04 08:42:00,upss.. br install...
Yami.,1,2023-08-04 06:49:04,Tiket booster mana anjenggg
Angger CR,1,2023-08-04 05:50:18,"gajelas kode otp dah bener gabisa login maksudnya apa kebanyakan bug ni apk setelah ganti nama, jelek bgt yg megang sekatang"
Roseno SPMM,1,2023-08-04 00:30:38,"Setiap update selalu masuk baru dan diminta kode OTP, dan membuat bikin ribet orang pakai nya. Sekelas kementerian aplikasi nya gak Bermutu dan bikin malu negara. Lihat aja negara tetangga aplikasi nya gak ribet amat kayak gini."
Eka Mutia,1,2023-08-03 22:30:10,Tutup aja ga guna ini aplikasi cuma nyari duit
Al_ Habshi,1,2023-08-03 21:00:20,Ribett
Priyagung Wicaksono,1,2023-08-03 19:58:41,"""Gak guna"" dah Gitu aja"
Shiro Azusa,1,2023-08-03 19:53:39,"Ga guna banget. Kirain mempermudah, malah nambah susah😤"
Pras Rajin Menabung,5,2023-08-03 19:34:12,Permisi sertifikat vaksin dosis ke 2 saya belum muncul atas nama Prastiyanto
Andryan _15,1,2023-08-03 19:10:34,Ajg gua udah punya akun mau login sulit amat ajg
Kay Deny,1,2023-08-03 18:54:01,burukkkk
Yusup Mauludin,1,2023-08-03 16:09:02,"Jelek banget, bagusan aplikasi peduli lindungi Terus ini kompetibelnya harus os 6 keatas, sedangkan hp ibuibu bapak bapak kebanyakan yang dibawah itu."
D Mar,1,2023-08-03 16:05:23,"Barcode nya gk bisa dibaca, menyusahkan"
zarkof anton,1,2023-08-03 15:49:52,Data saya belum diperbarui cuma sertifikat dosis pertama saja yang ada
Serly Amanda w,2,2023-08-03 15:32:41,"Pas masih pake nama peduli lindungi ga ribet, sekarang udah ganti trus juga udah vaksin ke-2 kenapa masih ke-1 disini heran"
Pranata Oppo,1,2023-08-03 15:22:09,Aplikasi gak jelas bangke
burhan uddin,1,2023-08-03 15:13:16,Masih simpel.an apk pakek yg peduli lindungi dulu . Update Satusehat malah sudah loginnya
Siti Nurhalimah,1,2023-08-03 14:28:40,"Data saya tidak ditemukan. Padahal saya sudah vaksin booster, saya mau ambil sertifikat nya. Pada saat peduli lindungi aman-aman aja. Sertifikat ketiga vaksin saya ada. Cuma saya tidak DOWNLOD. MENYESAL!"
Usman Saleh,1,2023-08-03 13:29:16,Jadi ribet siih ini. Dulu pas masih perulilindungin simpel aja
EGI Permana,3,2023-08-03 13:04:36,Kartu vaksin ane ko ilang sih .cara balikin y gmna ya saya mau ngelamar kerja soalnya butuh kartu vaksin padahal udah 3 kali vaksin
Nanda Itam,1,2023-08-03 12:24:59,Payah Udah nggak bisa lihat sertifikat vaksin
ery Hermawan,1,2023-08-03 11:50:24,Dmn cara cek atau lihat sertifikat vaksin nya aplikasiii?????
Si Pemuda,1,2023-08-03 11:22:13,Kocak suruh feriv udh diferiv sesuai nomor malah gagal dicoba terus malah harus nunggu lama hadehhh mending yg dlu gk ribet.
Tatang Sm,1,2023-08-03 10:55:50,Tolol kode udah benar di coba login email sama wa tetep gk bisa masuk
Patmi Setio hamida,5,2023-08-03 10:03:09,Bagus
M. Reyhan Vandanil2,1,2023-08-03 10:01:46,Apkl nggk guna ngabisin anggaran dasar pemerintah aja dh
Nuy Puthreebunkszu,2,2023-08-03 09:34:20,Ww
Weird human,3,2023-08-03 09:00:56,"Kenapa ya saat saya mau login nomor telepon saya tidak terdata, padahal saya sudah memasukkan nomor lama dengan benar (karena terjadi perubahan nomor telepon). Saya jadi kesulitan masuk ke akun saya dan download kartu vaksin"
Rizki Santoso,3,2023-08-03 08:55:05,Sengaja saya kasih bintang 5 biar dilihat... Sejujurnya saya lebih setuju apk peduli lindungi lebih simpel dan efisien.
Ama Lucu,1,2023-08-03 08:31:08,Yg bikin aplikasi knp sih ada masalah apa gtu bukanya di permudah malah di persulit. ANEH.
Davido Setia,1,2023-08-03 08:06:38,"aplikasi ini tidak bisa menampilkan sertifikat vaksin dalam satu nomer hp untuk satu keluarga, beda dgn apk peduli lindungi versi yg lama ,satu apk ,satu nomer ,satu keluarga sertifikat bisa keluar semua"
Imam Hanafi,1,2023-08-03 08:02:39,"Aplikasi rusak, mau login gk bisa karena kode verivikasi salah, padahl sudah benar memasukan kodenya sesuai yg dikirim di wa"
Mama lina93,5,2023-08-03 05:02:53,@inayatulmaswiyah
Izriel Aang,1,2023-08-03 00:06:57,"Apk ga guna!!! bikin repot doank lu!! Data vaksin ga masuk, hubungi via sana-sini amleng ga ada bantuan blasss, alhasil pusing sendiri... Katanya wajib begitu ada Kendala ""SUSAH"" ngurusnya, tambah Repot poll... Itu belum ""Keluhan"", tambah Koumetd... Hapus ae lah! fungsional kaga!!, tambah pusing doank!! Mikirin idup dah susah, suruh tambah mikirin kendala data!!"
Ferdy Rudiansyah,5,2023-08-02 23:45:27,Kadang satu sehat tdk bisa terbuka
Gembili TikTok,1,2023-08-02 21:35:12,tidak bisa masuk
Angga Tri Anggoro,1,2023-08-02 21:20:31,"Sertifikat vaksin belum muncul di aplikasi, lama banget....."
Marthin Sitorus,1,2023-08-02 20:48:56,Apk ngk guna susahh bangat loginya pas penting gara² ni apk gua jadi ngk itu ambil BST di SMK memang ini apk laknakkkkkk bukanya mempermudah malamempersulit
Nina Herlia,4,2023-08-02 20:26:08,Perlu banyak perbaikan. Sudah di suntik vaksin ke 3 tapi sertifikat tidak langsung keluar. Akhirnya saya inisiatif menghubungi 1500567 Ext 2. Saya ceritakan keluahan yg ada. Alhamdulillah selang beberapa menit bisa muncul sertifikatnya. Terimakasih
aura Bella,1,2023-08-02 20:01:11,Qontolll ga bisa diinstall ajg minimal perbaikin dlu lah sok sokan ganti nama
Baehaki Bey,2,2023-08-02 19:55:01,Ribet banget
Arif Sevian,1,2023-08-02 19:40:21,Aplikasi koplak otp udh bener ttp gbisaaa
nurul fatimah,1,2023-08-02 19:01:02,"mau login aja susah, ribet"
Wizzz,1,2023-08-02 18:53:28,login susah
Indah Ayu Sartika,1,2023-08-02 18:24:16,"Udah vaksin ke tiga kok belum juga muncul sih , ribet banget"
Anggi Alpian,2,2023-08-02 17:49:15,"Saya udah vaksin 3 kok masih kuning?, Sama bagaimana cara mengambil sertifikat vaksinnya, tolong info dong"
Misbach H. Mustaqiim,1,2023-08-02 16:57:03,"Syarat vaksin kan membawa KTP kenapa harus ada pendataan ulang jelas"" nomer nik saja harusnya cukup"
candra darmawan,1,2023-08-02 16:28:24,Sistem tidak Update saya sdah melakukan Vaksin 3X di sini hanya 1X
Hy Basit,1,2023-08-02 16:15:56,"Udah meles banyak bicara, intinya di pesulit login"
Alif Sukmajaya,1,2023-08-02 15:01:47,padahal bagusan yang dulu
Hasan Basori,1,2023-08-02 14:09:20,Mau login gk bisa harus daftar ribet
Fatrayasa Hadi,5,2023-08-02 13:31:20,Lebih tingkatkan ke akuratan nya
Gimo M.Pd.,2,2023-08-02 13:01:33,Xhoxxdsx0xddpd0xx0ssdixx0l§xⁿp m⁵
